Provincia,Comune/Diocesi,Frazione,Chiesa,Latitudine,Longitudine,Secolo,Anno,Autore,Città Autore,Altezza,Diametro,Ruolo,Tipologia campanaria,Tono
L'Aquila,Trasacco,,SS. Cesidio e Rufino,,,XVIII,1767,GB Donati e Angelo Mari,L'Aquila-Salle,120,"107,5",mezzana,,SOLB3
L'Aquila,Pescina,,Chiesa di San Berardo originariamente (danneggiata dal terremoto)- ora nella Basilica di Santa Maria delle Grazie,,,XIX,1806,Loreto Mari,Salle,,,campanone,,DOB3
L'Aquila,Tagliacozzo,Villa San Sebastiano,Chiesa di San Sebastiano,,,XIX,1816,Loreto Mari,Salle,95,80,,,
L'Aquila,Scanno,,Santa Maria della Valle,,,XIX,1820,Fonderia Mari,Salle,,150,campanone,,SI2
Chieti,Castelfrentano,,Chiesetta del monte dei Morti,,,XIX,1821,Fratelli Mari,Salle,,,campanone,,
Chieti,Diocesi Lanciano Ortona,,,,,,1821,,Salle,70,60,,,
L'Aquila,Pratola Peligna,,Santuario Madonna della Libera,,,XIX,1840,Daniele Mari,Salle,,108,campanone,,MI3
Rieti,Antrodoco,,Chiesa di Santa Maria Assunta (Duomo),,,XIX,1852,Angelo Mari,Salle,,,campanone,,
L'Aquila,Scurcola Marsicana,,Chiesa della Santissima Trinità,,,XIX,1854,Daniele e Angelo Mari,Salle,85,72,campanone,nona,
Chieti,Mozzagrogna,villa Romagnoli,Chiesa di Maria Santissima della Vittoria,,,XIX,1863,Fratelli Mari,Salle,,,,,
Chieti,Castelfrentano,,Chiesa del SS Rosario,,,XIX,1864,Daniele e Angelo Mari,Salle,105,87,campanone,,SOL3
L'Aquila,Castel di Ieri,,Santa Maria Assunta,,,XIX,1870,"Daniele, Angelo e Loreto Mari",Salle,,102,mezzana,,SOLB3
Chieti,Chieti (?),,,,,XIX,1874,Daniele Mari,Salle,47,38,,,
Chieti,Castelfrentano,,Chiesa di Santo Stefano Protomartire,,,XIX,1876,Alessandro Marinelli e Angelo Mari,Agnone - Salle,,85,mezzana,,LA3
Chieti,Chieti,,Cattedrale di San Giustino Vescovo,,,XIX,1879,Loreto e GiovanBattista Mari,Salle,,105,quarta,,FA3
Chieti,Casalincontrada,,Chiesa di Santa Maria delle Grazie,,,XIX,1882,Loreto Mari,Salle,78,65,,,
L'Aquila,Raiano,,Santa Maria Maggiore,,,XIX,1884,Fratelli Mari,Salle,,100,campanone,,FA3
Chieti,Diocesi Lanciano Ortona,,,,,,1889,,Salle,67,50,,,
L'Aquila,Tagliacozzo,,Municipio,,,XIX,1890,Loreto e Daniele Mari,Salle,,,,,
Chieti,Atessa,,Chiesa di San Pietro,,,XIX,1896,Fratelli Mari,Salle,,54,,,
Chieti,Atessa,,Chiesa di San Marco,,,XIX,1896,Fratelli Mari,Salle,,"52,5",,,
Rieti,Antrodoco,,Chiesa di Santa Maria Assunta (Duomo),,,XIX,1898,Daniele e Angelo Mari,Salle,,,seconda,,
Chieti,Atessa,,Cattedrale di San Leucio,,,XX,1902,Fratelli Mari,Salle,,47,,,
Chieti,Atessa,,Chiesa di Sant'Antonio,,,XX,1902,Fratelli Mari,Salle,,47,,,SIB4
Chieti,Castelfrentano,,Chiesa di Santo Stefano Protomartire,,,XX,1904,Fratelli Mari,Salle,80,70,terza,,DO4
Chieti,Castelfrentano,,Chiesa del SS Rosario,,,XX,1912,Fratelli Mari,Salle,,67,mezzana,,REB4
Chieti,Diocesi Lanciano Ortona,,,,,,1912,,Salle,40,32,,,
Chieti,Rocca San Giovanni,,Chiesa San Matteo Apostolo,,,XX,1913,Loreto Mari,Salle,,62,seconda,,SI3
Chieti,Atessa,,Chiesa di San Michele,,,XX,1913,GiovanBattista Mari e Giuseppe (?) Mari ,Salle,,,mezzana,,
L'Aquila,Vittorito,,Chiesa Madonna della Neve,,,??,??,Fonderia Mari ,Salle,,81,terza,nona,SIB3
L'Aquila,Trasacco,,SS. Cesidio e Rufino,,,XVIII,1759/1813 (?),Loreto Mari,Salle,160,148,campanone,,DO3
Chieti,Diocesi Chieti Vasto,,,,,,1850-1899,Loreto Mari,Salle,60,54,,,
Chieti,Ari,,Chiesa del Santissimo Salvatore,,,XX,1934 (?),Premiata Fonderia Mari ,Salle (?),,135,campanone,nona,MIB3
Rieti,Antrodoco,,Chiesa di Santa Maria Assunta (Duomo),,,,,Loreto Mari,Salle,,,sesta,,
L'Aquila,Magliano dei Marsi,,,,,,,Fonderia Mari,Salle,,,campanone,,
Chieti,Diocesi Lanciano Ortona,,,,,,,,,,,,,
